order,category,finalStatus,finalLevelId,finalAssetPath,loadedAssetPath,loadMode,assemblyAction,assemblySourcePool,assemblyGateClass,assemblyRemainingGap,assemblyCopyRequired,productionLane,productionStyle,productionChainLanguage,chains,sourceCoverage,maxChoices,localPatchSolveRunMax,solveTraceQualityScore,note
90,normal,ReplacedRhythmV4,c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PressurePeak,hardgate,mixed_chain,87,0.986,10,5,0.852,
91,hole,OriginalNonTarget,hole_candidate_071_wide_26x22_maze,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L091_hole_candidate_071_wide_26x22_maze.asset,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset,BasePreviewFallback,KeepCurrent,,,False,False,,,,,,,,,missingFinalAssetPath
92,normal,ReplacedRhythmV4,campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowPatch,flow,patch_chain,42,0.995,10,4,0.89,
93,shape,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,Sweep,,92,0.988,8,8,,
94,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PressurePeak,hardgate,mixed_chain,100,0.981,9,4,0.858,
95,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowRail,flow,rail_chain,52,0.987,10,6,0.913,
96,normal,ReplacedRhythmV4,c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PressurePeak,hardgate,mixed_chain,100,0.99,10,4,0.854,
97,normal,ReplacedRhythmV4,c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500NormalFullV1UnusedStrict,RhythmV4Front300TraceKeep,False,False,PeelMid,peel,rail_chain,82,0.983,10,8,0.846,
98,shape,ShapeCandidatePlanned,campaign500_shape_psg_next10_tail9_05_L098_phonehandset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,Sweep,,70,0.985,9,11,,
99,normal,ReplacedRhythmV4,c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PressurePeak,hardgate,mixed_chain,94,0.982,10,4,0.884,
100,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowCurve,flow,curve_chain,43,0.988,10,5,0.895,
101,hole,OriginalNonTarget,hole_candidate_020_std_22x24_dense,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L101_hole_candidate_020_std_22x24_dense.asset,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset,BasePreviewFallback,KeepCurrent,,,False,False,,,,,,,,,missingFinalAssetPath
102,normal,ReplacedRhythmV4,c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,Campaign500_HardGateUntil0910,hardgate,unknown_chain,56,0.98,8,3,0.92,
103,shape,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,CoreBurst,,101,0.994,10,12,,
104,normal,ReplacedRhythmV4,campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset,ManifestAsset,ActiveReplace,SeedV5LongChain30Front300,RhythmV4Front300TraceKeep,False,True,slot_seedmaze_section_weave,longchain,family_profile_chain,36,0.9474,11,3,0.876,
105,normal,ReplacedRhythmV4,nutation_hub_mixed_v1_strict30_refill_23_s06_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset,ManifestAsset,ActiveReplace,HubMixedRefill30Front300,RhythmV4Front300TraceKeep,False,False,hub_spoke,hub,mixed_chain,97,0.955,10,6,0.825,
106,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PeelMid,hardgate,curve_chain,78,0.987,9,5,0.854,
107,normal,ReplacedRhythmV4,nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset,ManifestAsset,ActiveReplace,ExternalHardGateDedupFront300,RhythmV4Front300TraceKeep,False,False,HubMixed,hub,unknown_chain,94,0.935,10,6,0.82,
108,shape,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,LockBuckle,,80,0.989,8,9,,
109,normal,ReplacedRhythmV4,c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PressurePeak,hardgate,mixed_chain,90,0.988,9,7,0.848,
110,normal,ReplacedRhythmV4,c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PeelMid,hardgate,rail_chain,87,0.981,9,7,0.844,
111,normal,ReplacedRhythmV4,c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PressurePeak,hardgate,mixed_chain,83,0.993,9,5,0.85,
112,normal,ReplacedRhythmV4,nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset,ManifestAsset,ActiveReplace,NutationLongChainStrict60Front300,RhythmV4Front300TraceKeep,False,False,maze_long_chain,longchain,spine_chain,92,0.933,8,7,0.825,
113,shape,ShapeCandidatePlanned,campaign500_shape_psg_next10_tail9_08_L113_lightningbolt,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,Sweep,,95,0.980,11,6,,
114,normal,ReplacedRhythmV4,c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PeelMid,hardgate,curve_chain,81,0.987,9,6,0.823,
115,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,NeutralMixed,neutral,mixed_chain,70,0.986,9,4,0.847,
116,normal,ReplacedRhythmV4,c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PeelHard,hardgate,rail_chain,82,0.982,10,4,0.937,
117,hole,OriginalNonTarget,hole_topup_018_topup_std_22x26_dual,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L117_hole_topup_018_topup_std_22x26_dual.asset,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset,BasePreviewFallback,KeepCurrent,,,False,False,,,,,,,,,missingFinalAssetPath
118,shape,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,SectionUnlock,,98,0.991,11,14,,
119,normal,ReplacedRhythmV4,c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier,Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset,Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset,ManifestAsset,ActiveReplace,ExternalHardGateDedupFront300,RhythmV4Front300TraceKeep,False,False,CampaignLongChainLab,longchain,long_chain,43,0.9497,10,4,0.951,
120,normal,ReplacedRhythmV4,c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PressurePeak,hardgate,mixed_chain,87,0.988,10,6,0.833,
121,normal,ReplacedRhythmV4,campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowRail,flow,rail_chain,45,0.996,10,4,0.915,
122,normal,ReplacedRhythmV4,c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset,ManifestAsset,ActiveReplace,Campaign500NormalFullV1UnusedStrict,RhythmV4Front300TraceKeep,False,False,PressurePeak,peel,mixed_chain,79,0.981,8,8,0.823,
123,shape,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_22_L123_car_core,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,CoreBurst,,86,0.993,7,10,,
124,normal,ReplacedRhythmV4,c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PeelMid,hardgate,rail_chain,82,0.992,10,5,0.877,
125,normal,ReplacedRhythmV4,nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset,ManifestAsset,ActiveReplace,NutationLongChainStrict60Front300,RhythmV4Front300TraceKeep,False,False,maze_long_chain,longchain,patch_chain,76,0.948,10,6,0.884,
126,hole,OriginalNonTarget,hole_candidate_016_std_20x26_section,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L126_hole_candidate_016_std_20x26_section.asset,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset,BasePreviewFallback,KeepCurrent,,,False,False,,,,,,,,,missingFinalAssetPath
127,shape,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,LatestProposedKeep,False,True,,LockBuckle,,88,0.992,11,10,,
128,normal,ReplacedRhythmV4,c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,Campaign500_HardGateUntil0910,hardgate,strict_peak_chain,79,0.984,8,4,0.905,
129,normal,ReplacedRhythmV4,campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset,ManifestAsset,ActiveReplace,SeedV5LongChain30Front300,RhythmV4Front300TraceKeep,False,True,slot_seedmaze_chamber_corridor,longchain,family_profile_chain,42,0.9460,10,5,0.885,
130,normal,ReplacedRhythmV4,c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,PeelHard,hardgate,rail_chain,77,0.986,9,6,0.868,
131,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,NeutralMixed,neutral,mixed_chain,72,0.984,9,5,0.87,
