order,section10,difficultyNameZh,sectionWaveRole,templateTargetChains,stageTargetChains,levelId,assetPath,sourcePool,sourceClass,styleGroup,style,chain,band,chains,maxChain,avgChain,effectiveChainLoad,maxChoices,local,near,sts,collapse,rhythmChainDelta,rhythmEffectiveDelta,placementReason
3,1,普通/恢复,Normal,19,19.0,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,Campaign500NormalFullV1UnusedStrict,flow,flow,FlowRail,rail_chain,NormalFlow,36,22,11.86,36.51,7,3,3,0.809,0.051,17.0,17.5,target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6
64,7,普通/恢复,Normal,66,66.0,campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,66,21,9.86,70.37,9,5,5,0.824,0.2,0.0,4.4,target=66;stageTarget=66;effective=70.4;chains=66;role=Normal;style=neutral;chain=mixed_chain;cost=36.8
65,7,极难,PeakExtreme,104,96.0,c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,peel_hard,peel,PeelMid,rail_chain,Hard,82,21,8.52,94.86,9,8,5,0.883,0.136,-22.0,-1.1,target=104;stageTarget=96;effective=94.9;chains=82;role=PeakExtreme;style=peel;chain=rail_chain;cost=23.9
66,7,困难,Recovery,89,84.0,campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,70,20,9.30,77.54,9,6,3,0.859,0.225,-19.0,-6.5,target=89;stageTarget=84;effective=77.5;chains=70;role=Recovery;style=neutral;chain=mixed_chain;cost=61.5
68,7,普通/恢复,Normal,59,59.0,campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowCurve,rail_chain,NormalFlow,52,21,10.23,58.01,10,4,1,0.898,0.183,-7.0,-1.0,target=59;stageTarget=59;effective=58.0;chains=52;role=Normal;style=flow;chain=rail_chain;cost=38.4
69,7,特别困难,Hard,100,96.0,c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,94,21,9.24,99.46,9,5,3,0.936,0.104,-6.0,3.5,target=100;stageTarget=96;effective=99.5;chains=94;role=Hard;style=hardgate;chain=mixed_chain;cost=31.6
70,7,困难,Hard,103,96.0,c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,peel_hard,peel,PeelMid,rail_chain,Hard,81,20,8.69,91.80,10,6,4,0.818,0.28,-22.0,-4.2,target=103;stageTarget=96;effective=91.8;chains=81;role=Hard;style=peel;chain=rail_chain;cost=41.9
72,8,特别困难,PeakExtreme,104,96.0,c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,86,21,10.15,98.16,10,3,3,0.885,0.212,-18.0,2.2,target=104;stageTarget=96;effective=98.2;chains=86;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=19.5
74,8,普通/恢复,Normal,87,84.0,c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,peel_hard,peel,PeelMid,rail_chain,Hard,82,20,9.94,89.34,10,5,3,0.814,0.254,-5.0,5.3,target=87;stageTarget=84;effective=89.3;chains=82;role=Normal;style=peel;chain=rail_chain;cost=55.8
75,8,普通/恢复,Hard,103,96.0,c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,83,21,9.18,95.16,9,6,6,0.853,0.177,-20.0,-0.8,target=103;stageTarget=96;effective=95.2;chains=83;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9
76,8,特别困难,PeakExtreme,94,94.0,nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset,NutationLongChainStrict60Front300,longchain,longchain,maze_long_chain,spine_chain,,72,25,13.26,90.27,9,5,5,0.822,0.273,-22.0,-3.7,target=94;stageTarget=94;effective=90.3;chains=72;role=PeakExtreme;style=longchain;chain=spine_chain;cost=24.2
77,8,普通/恢复,Normal,48,48.0,campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowCurve,curve_chain,NormalFlow,46,21,11.65,48.08,9,3,3,0.919,0.047,-2.0,0.1,target=48;stageTarget=48;effective=48.1;chains=46;role=Normal;style=flow;chain=curve_chain;cost=19.4
79,8,普通/恢复,Recovery,58,58.0,campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,51,21,10.39,59.82,10,6,2,0.889,0.137,-7.0,1.8,target=58;stageTarget=58;effective=59.8;chains=51;role=Recovery;style=neutral;chain=mixed_chain;cost=49.3
80,8,普通/恢复,Normal,89,84.0,campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowRail,rail_chain,NormalFlow,73,20,8.92,78.67,10,5,3,0.913,0.161,-16.0,-5.3,target=89;stageTarget=84;effective=78.7;chains=73;role=Normal;style=flow;chain=rail_chain;cost=58.4
81,9,普通/恢复,Recovery,46,46.0,campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowRail,rail_chain,NormalFlow,43,22,9.95,45.73,9,4,4,0.911,0.106,-3.0,-0.3,target=46;stageTarget=46;effective=45.7;chains=43;role=Recovery;style=flow;chain=rail_chain;cost=25.8
84,9,困难,Hard,88,88.0,c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelMid,curve_chain,Hard,80,21,10.19,87.00,9,5,2,0.862,0.161,-8.0,-1.0,target=88;stageTarget=88;effective=87.0;chains=80;role=Hard;style=hardgate;chain=curve_chain;cost=28.9
85,9,困难,Recovery,92,92.0,c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,79,21,9.61,90.56,9,7,5,0.827,0.282,-13.0,-1.4,target=92;stageTarget=92;effective=90.6;chains=79;role=Recovery;style=neutral;chain=mixed_chain;cost=66.7
86,9,普通/恢复,Normal,55,55.0,campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowRail,rail_chain,NormalFlow,51,21,10.43,56.58,10,3,3,0.906,0.147,-4.0,1.6,target=55;stageTarget=55;effective=56.6;chains=51;role=Normal;style=flow;chain=rail_chain;cost=35.0
88,9,特别困难,Hard,101,101.0,c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,93,21,9.37,103.23,10,5,3,0.907,0.113,-8.0,2.2,target=101;stageTarget=101;effective=103.2;chains=93;role=Hard;style=hardgate;chain=mixed_chain;cost=36.7
89,9,极难,PeakExtreme,100,100.0,nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine.asset,NutationLongChainStrict60Front300,longchain,longchain,maze_long_chain,spine_chain,,73,26,16.45,100.83,8,7,7,0.91,0.134,-27.0,0.8,target=100;stageTarget=100;effective=100.8;chains=73;role=PeakExtreme;style=longchain;chain=spine_chain;cost=23.3
90,9,困难,Hard,98,98.0,c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,87,21,10.02,99.36,10,5,3,0.852,0.21,-11.0,1.4,target=98;stageTarget=98;effective=99.4;chains=87;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9
92,10,普通/恢复,Normal,48,48.0,campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,42,22,10.24,48.11,10,4,2,0.89,0.187,-6.0,0.1,target=48;stageTarget=48;effective=48.1;chains=42;role=Normal;style=flow;chain=patch_chain;cost=33.0
94,10,特别困难,Hard,107,107.0,campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,100,21,9.54,108.45,9,4,3,0.858,0.24,-7.0,1.5,target=107;stageTarget=107;effective=108.5;chains=100;role=Hard;style=hardgate;chain=mixed_chain;cost=32.9
95,10,普通/恢复,Normal,61,61.0,campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowRail,rail_chain,NormalFlow,52,21,10.25,60.37,10,6,3,0.913,0.111,-9.0,-0.6,target=61;stageTarget=61;effective=60.4;chains=52;role=Normal;style=flow;chain=rail_chain;cost=42.7
96,10,极难,PeakExtreme,110,110.0,c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,100,21,9.62,111.05,10,4,4,0.854,0.138,-10.0,1.0,target=110;stageTarget=110;effective=111.0;chains=100;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=22.6
97,10,困难,Hard,102,102.0,c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,peel_hard,peel,PeelMid,rail_chain,Hard,82,21,9.89,98.10,10,8,2,0.846,0.191,-20.0,-3.9,target=102;stageTarget=102;effective=98.1;chains=82;role=Hard;style=peel;chain=rail_chain;cost=56.7
99,10,困难,Normal,101,101.0,c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,94,21,9.23,104.85,10,4,3,0.884,0.139,-7.0,3.8,target=101;stageTarget=101;effective=104.8;chains=94;role=Normal;style=hardgate;chain=mixed_chain;cost=72.2
100,10,普通/恢复,Normal,49,49.0,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowCurve,curve_chain,NormalFlow,43,19,9.93,48.53,10,5,5,0.895,0.133,-6.0,-0.5,target=49;stageTarget=49;effective=48.5;chains=43;role=Normal;style=flow;chain=curve_chain;cost=33.9
102,11,普通/恢复,Normal,57,57.0,c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,Campaign500_HardGateUntil0910,unknown_chain,,56,21,9.45,58.00,8,3,2,0.92,0.15,-1.0,1.0,target=57;stageTarget=57;effective=58.0;chains=56;role=Normal;style=hardgate;chain=unknown_chain;cost=36.1
104,11,困难,Hard,102,102.0,campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset,SeedV5LongChain30Front300,longchain,longchain,slot_seedmaze_section_weave,family_profile_chain,LongNormalA,36,50,13.50,101.06,11,3,1,0.876,0.12,-66.0,-0.9,target=102;stageTarget=102;effective=101.1;chains=36;role=Hard;style=longchain;chain=family_profile_chain;cost=57.1
105,11,困难,Hard,117,117.0,nutation_hub_mixed_v1_strict30_refill_23_s06_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset,HubMixedRefill30Front300,hub,hub,hub_spoke,mixed_chain,,97,14,7.02,115.53,10,6,5,0.825,0.276,-20.0,-1.5,target=117;stageTarget=117;effective=115.5;chains=97;role=Hard;style=hub;chain=mixed_chain;cost=53.5
106,11,普通/恢复,Normal,86,86.0,campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelMid,curve_chain,Hard,78,20,9.03,86.21,9,5,3,0.854,0.225,-8.0,0.2,target=86;stageTarget=86;effective=86.2;chains=78;role=Normal;style=hardgate;chain=curve_chain;cost=52.8
107,11,特别困难,PeakExtreme,105,105.0,nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset,ExternalHardGateDedupFront300,hub,hub,HubMixed,unknown_chain,HubMixed,94,14,7.10,112.59,10,6,5,0.82,0.277,-11.0,7.6,target=105;stageTarget=105;effective=112.6;chains=94;role=PeakExtreme;style=hub;chain=unknown_chain;cost=40.3
109,11,特别困难,PeakExtreme,108,108.0,c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,90,21,10.67,107.55,9,7,4,0.848,0.208,-18.0,-0.5,target=108;stageTarget=108;effective=107.5;chains=90;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=31.4
110,11,普通/恢复,Recovery,104,104.0,c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelMid,rail_chain,Hard,87,21,10.26,104.67,9,7,3,0.844,0.213,-17.0,0.7,target=104;stageTarget=104;effective=104.7;chains=87;role=Recovery;style=hardgate;chain=rail_chain;cost=111.8
111,12,普通/恢复,Recovery,89,89.0,c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,83,21,9.19,91.64,9,5,5,0.85,0.247,-6.0,2.6,target=89;stageTarget=89;effective=91.6;chains=83;role=Recovery;style=hardgate;chain=mixed_chain;cost=65.7
112,12,特别困难,PeakExtreme,108,108.0,nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset,NutationLongChainStrict60Front300,longchain,longchain,maze_long_chain,spine_chain,,92,26,14.60,118.39,8,7,4,0.825,0.245,-16.0,10.4,target=108;stageTarget=108;effective=118.4;chains=92;role=PeakExtreme;style=longchain;chain=spine_chain;cost=45.5
114,12,普通/恢复,Recovery,94,94.0,c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelMid,curve_chain,Hard,81,21,10.05,94.23,9,6,5,0.823,0.225,-13.0,0.2,target=94;stageTarget=94;effective=94.2;chains=81;role=Recovery;style=hardgate;chain=curve_chain;cost=69.3
115,12,普通/恢复,Normal,74,74.0,campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,70,21,9.30,74.54,9,4,4,0.847,0.236,-4.0,0.5,target=74;stageTarget=74;effective=74.5;chains=70;role=Normal;style=neutral;chain=mixed_chain;cost=31.1
116,12,困难,Hard,89,89.0,c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelHard,rail_chain,Peak,82,21,9.20,91.53,10,4,3,0.937,0.086,-7.0,2.5,target=89;stageTarget=89;effective=91.5;chains=82;role=Hard;style=hardgate;chain=rail_chain;cost=29.7
119,12,特别困难,PeakExtreme,102,102.0,c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier,Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset,ExternalHardGateDedupFront300,longchain,longchain,CampaignLongChainLab,long_chain,CampaignLongChainLab,43,46,13.60,96.11,10,4,4,0.951,0.069,-59.0,-5.9,target=102;stageTarget=102;effective=96.1;chains=43;role=PeakExtreme;style=longchain;chain=long_chain;cost=40.9
120,12,普通/恢复,Recovery,106,106.0,c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,87,20,8.72,104.90,10,6,6,0.833,0.244,-19.0,-1.1,target=106;stageTarget=106;effective=104.9;chains=87;role=Recovery;style=hardgate;chain=mixed_chain;cost=95.9
121,13,普通/恢复,Recovery,51,51.0,campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowRail,rail_chain,NormalFlow,45,21,11.96,50.45,10,4,2,0.915,0.141,-6.0,-0.5,target=51;stageTarget=51;effective=50.5;chains=45;role=Recovery;style=flow;chain=rail_chain;cost=39.8
122,13,普通/恢复,Normal,89,89.0,c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset,Campaign500NormalFullV1UnusedStrict,peel_hard,peel,PressurePeak,mixed_chain,Peak,79,21,10.97,90.59,8,8,4,0.823,0.201,-10.0,1.6,target=89;stageTarget=89;effective=90.6;chains=79;role=Normal;style=peel;chain=mixed_chain;cost=62.7
