order,section10,positionIn10,macroArc,sectionRole,levelName,category,difficultyCode,difficultyNameZh,slotDutyV2,targetExperience,styleTargetV2,chainLanguageTargetV2,targetEffectiveLoadMin,targetEffectiveLoad,targetEffectiveLoadMax,effectiveLoadBand,readDemandTarget,requiredEvidence,avoidRules,loadInterpretationNote,productionNeed,finalLevelId,finalAssetPath,loadedAssetPath,sourceOrder,sourceStatus,sourcePool,productionLane,productionStyle,chainLanguage,productionChainLanguage,candidateRawChains,candidateEffectiveLoad,finalChain,actualChains,finalArrow,sourceCoverage,maxChoices,localPatchSolveRunMax,solveTraceQualityScore,matchMode,matchScore,matchReason,calibratedLoadNote,bandFit,changedFromV4Order,layoutVersion
23,3,3,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_23,shape,1,普通/恢复,ShapeAnchor,visual perspective/reward anchor; keep readability first,ShapeHosted/Flow/Peel/Mixed,theme_shape,40,46,52,40-52,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,use_existing_shape_anchor_pool,campaign500_shape_psg_direction3_01_L023_train,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset,23,ShapeCandidatePlanned,C5V4FSC,,CoreBurst,,,87,87.0,46,87,728,0.991,10,7,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
24,3,4,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_24,normal,1,普通/恢复,LanguageVariation,variation if not occupied by shape/hole,Mixed/Peel/Flow,language_shift,38,44,50,38-50,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset,81,ReplacedRhythmV4,C5V4FSC,FlowRail,flow,rail_chain,rail_chain,43,45.73,46,43,655,0.991,9,4,0.911,scored-match,-20.156,load:in-band;style:flow;replaced,,in_band,true,Campaign500First50V2ExistingV1
25,3,5,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_25,normal,2,困难,LocalRunBreaker,break same-area clearing,Peel/Mixed/HubLite,rail_patch,54,62,70,54-70,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset,357,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,FlowPatch,FlowPatch,patch_chain,patch_chain,67,67.0,67,67,728,0.989,8,5,0.911,scored-match,-33.0,load:in-band;style:mixed;style:neutral-mixed;lang:patch;readcheck-suitable;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
26,3,6,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_26_hole,hole,1,普通/恢复,HoleSpatialAnchor,space variation or breath,Hole/Mixed/Peel,theme_space,47,53,59,47-59,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,use_existing_hole_anchor_pool,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,26,OriginalNonTarget,C5V4FSC,,,,,,,53,,385,,,,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
27,3,7,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_27,shape,1,普通/恢复,ShapeAnchor,visual perspective/reward anchor; keep readability first,ShapeHosted/Flow/Peel/Mixed,theme_shape,36,42,48,36-48,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,use_existing_shape_anchor_pool,campaign500_shape_psg_direction3_02_L027_crownvarianta,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset,27,ShapeCandidatePlanned,C5V4FSC,,LockBuckle,,,72,72.0,42,72,585,0.993,8,10,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
28,3,8,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_28,normal,1,普通/恢复,BridgeRamp,ordinary upper-ramp slot,Peel/Mixed,rail_patch,48,54,60,48-60,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset,346,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,FlowRail,FlowRail,rail_chain,rail_chain,54,54.0,54,54,487,0.994,10,4,0.926,scored-match,-26.0,load:in-band;lang:rail;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
29,3,9,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_29,normal,4,极难,ExtremeMemory,chapter or half-chapter boss,LongChain/Hub/Peel/Mixed,spine_rail_patch,72,84,96,72-96,high_but_readable,solved;initial_clearable;nonzero_difficulty;strong_read_evidence;dependency_depth_or_memory_peak;fair_no_random_hidden_gate;meaningful_consequence_after_key_move,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains;peak_not_above_section_normal;no_post_peak_release,longchain/spine candidates may count below raw-chain target; use effective load,needs_extreme_peak_supply,c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset,384,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,PeelMid,PeelMid,rail_chain,rail_chain,84,84.0,84,84,770,0.987,8,3,0.918,scored-match,-55.0,load:in-band;style:peel;style:neutral-mixed;lang:rail;peak-suitable;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
30,3,10,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_30,normal,1,普通/恢复,SetupOrBreath,end-of-section normal release if no peak code,Mixed/Flow/Peel,variation_first,52,58,64,52-64,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset,68,ReplacedRhythmV4,C5V4FSC,FlowCurve,flow,rail_chain,rail_chain,52,58.01,58,52,632,0.985,10,4,0.898,scored-match,-24.972,load:in-band;style:flow;replaced,,in_band,true,Campaign500First50V2ExistingV1
31,4,1,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_31,normal,1,普通/恢复,RecoveryFlow,section opener or post-peak release,Flow/Mixed,curve_mixed,36,42,48,36-48,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset,290,ReplacedRhythmV4,C5V4FSC,slot_seedweave_braid_carrier,longchain,family_profile_chain,family_profile_chain,15,44.68,45,15,381,0.9427,8,3,0.924,scored-match,-7.496,load:in-band;replaced,,in_band,true,Campaign500First50V2ExistingV1
32,4,2,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_32,shape,1,普通/恢复,ShapeAnchor,visual perspective/reward anchor; keep readability first,ShapeHosted/Flow/Peel/Mixed,theme_shape,44,50,56,44-56,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,use_existing_shape_anchor_pool,campaign500_shape_psg_direction3_03_L032_wavecrest,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset,32,ShapeCandidatePlanned,C5V4FSC,,Sweep,,,83,83.0,50,83,673,0.977,14,9,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
33,4,3,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_33,normal,1,普通/恢复,LanguageVariation,fresh chain language without pressure spike,Mixed/Peel/Flow,language_shift,43,49,55,43-55,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,100,ReplacedRhythmV4,C5V4FSC,FlowCurve,flow,curve_chain,curve_chain,43,48.53,49,43,618,0.988,10,5,0.895,scored-match,-23.684,load:in-band;style:flow;replaced,,in_band,true,Campaign500First50V2ExistingV1
34,4,4,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_34,normal,2,困难,CanvasStep,difficulty comes from scale or density,Mixed/Peel,mixed_or_rail,57,65,73,57-73,mid,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset,464,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,NeutralMixed,NeutralMixed,mixed_chain,mixed_chain,65,65.0,65,65,725,0.982,9,7,0.869,scored-match,-37.0,load:in-band;style:mixed;style:neutral-mixed;lang:mixed;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
35,4,5,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_35,normal,1,普通/恢复,BridgeRamp,upper normal before read slot,Peel/Mixed,rail_patch,47,53,59,47-59,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,10,ReplacedRhythmV4,C5V4FSC,NeutralMixed,neutral,mixed_chain,mixed_chain,52,53.84,54,52,484,0.98,6,4,0.833,scored-match,-23.648,load:in-band;style:mixed;style:neutral-mixed;replaced,,in_band,true,Campaign500First50V2ExistingV1
36,4,6,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_36,normal,1,普通/恢复,NormalPractice,template normal in read-check position stays practice,Flow/Peel/Mixed,curve_rail,52,58,64,52-64,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset,15,ReplacedRhythmV4,C5V4FSC,FlowCurve,flow,curve_chain,curve_chain,55,56.12,56,55,617,0.981,6,4,0.864,scored-match,-30.736,load:in-band;style:flow;style:neutral-mixed;lang:curve;replaced,,in_band,true,Campaign500First50V2ExistingV1
37,4,7,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_37_hole,hole,1,普通/恢复,HoleSpatialAnchor,space variation or breath,Hole/Mixed/Peel,theme_space,40,46,52,40-52,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,use_existing_hole_anchor_pool,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,37,OriginalNonTarget,C5V4FSC,,,,,,,46,,357,,,,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
38,4,8,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_38,shape,2,困难,ReadCheck,shape read-check with only a mild shape premium,ShapeHosted/Peel/Mixed,theme_read,70,78,86,70-86,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,partial_supply_need_shape_readcheck,campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset,38,ShapeCandidatePlanned,C5V4FSC,,SectionUnlock,,,88,88.0,78,88,706,0.990,10,8,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
39,4,9,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_39,normal,3,特别困难,DependencyPeak,section peak with dependency consequence,Peel/LongChain/Hub,spine_rail_patch,68,78,88,68-88,high_with_dependency,solved;initial_clearable;nonzero_difficulty;cross_region_read;dependency_or_choke_consequence;post_peak_release_available;meaningful_consequence_after_key_move,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains;peak_not_above_section_normal;no_post_peak_release,longchain/spine candidates may count below raw-chain target; use effective load,needs_hard_or_special_peak_supply,c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset,439,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,PeelLight,PeelLight,rail_chain,rail_chain,79,79.0,79,79,761,0.988,9,6,0.836,scored-match,-47.2,load:in-band;style:peel;lang:rail;peak-suitable;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
40,4,10,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_40,normal,2,困难,CanvasStep,difficulty comes from scale or density,Mixed/Peel,mixed_or_rail,71,79,87,71-87,mid,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset,482,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,PeelLight,PeelLight,curve_chain,curve_chain,79,79.0,79,79,717,0.988,10,6,0.852,scored-match,-41.0,load:in-band;style:peel;style:neutral-mixed;lang:mixed;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
41,5,1,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_41,normal,1,普通/恢复,RecoveryFlow,section opener or post-peak release,Flow/Mixed,curve_mixed,44,50,56,44-56,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,12,ReplacedRhythmV4,C5V4FSC,FlowPatch,flow,patch_chain,patch_chain,48,49.78,50,48,382,0.991,9,3,0.932,scored-match,-24.384,load:in-band;style:flow;replaced,,in_band,true,Campaign500First50V2ExistingV1
42,5,2,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_42,normal,2,困难,CanvasStep,difficulty comes from scale or density,Mixed/Peel,mixed_or_rail,62,70,78,62-78,mid,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset,496,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,PeelLight,PeelLight,rail_chain,rail_chain,71,71.0,71,71,618,0.983,10,3,0.897,scored-match,-38.2,load:in-band;style:peel;style:neutral-mixed;lang:rail;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
43,5,3,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_43,shape,2,困难,ReadCheck,shape read-check with only a mild shape premium,ShapeHosted/Peel/Mixed,theme_read,67,75,83,67-83,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,partial_supply_need_shape_readcheck,campaign500_shape_psg_first10_05_L043_sunglasses,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset,43,ShapeCandidatePlanned,C5V4FSC,,LockBuckle,,,81,81.0,75,81,648,0.986,7,7,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
44,5,4,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_44,normal,2,困难,CanvasStep,difficulty comes from scale or density,Mixed/Peel,mixed_or_rail,65,73,81,65-81,mid,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset,424,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,PeelLight,PeelLight,curve_chain,curve_chain,74,74.0,74,74,628,0.985,8,6,0.869,scored-match,-38.2,load:in-band;style:peel;style:neutral-mixed;lang:mixed;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
