"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","planningMode","detailedDuty","playerPurpose","targetPressure","designNeed","avoid","sectionDuty","sectionIntent","sectionTheme","positionBeatRole","actualBeatRole","slotDutyV2","styleTargetV2","chainLanguageTargetV2","planningRule","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"88","9","8","Main/Level_Main_88","normal","3","特别困难","101","746","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","稳定普通节奏 + 初步读题 / PressureBuild","LatePressureWindow","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"89","9","9","Main/Level_Main_89","normal","4","极难","100","700","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","稳定普通节奏 + 初步读题 / PressureBuild","PeakSetup","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"90","9","10","Main/Level_Main_90","normal","2","困难","98","738","section_script_driven","LocalRunBreaker","从局部连续清除切换到跨区决策","hard: harder by read/region/anti-local, not only raw chains","solved; local run capped; same-side/directional sweep low; remote switch evidence","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","稳定普通节奏 + 初步读题 / PressureBuild","PeakOrLanding","HardReadBeat","LocalRunBreaker","Peel/Mixed/Hub-lite; require anti-local trace","patch/rail; avoid same-region conveyor","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"91","10","1","Main/Level_Main_91_hole","hole","1","普通/恢复","47","491","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","ResetOpener","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"92","10","2","Main/Level_Main_92","normal","1","普通/恢复","48","393","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","BaselinePractice","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"93","10","3","Main/Level_Main_93","shape","2","困难","86","734","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"94","10","4","Main/Level_Main_94","normal","3","特别困难","107","809","section_script_driven","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","solved; quality gates","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","VisualSpatialTurn","PeakBeat","StylePeak","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"95","10","5","Main/Level_Main_95","normal","1","普通/恢复","61","391","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"96","10","6","Main/Level_Main_96","normal","4","极难","110","840","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","FirstReadWindow","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"97","10","7","Main/Level_Main_97","normal","2","困难","102","785","section_script_driven","CanvasStep","适应更大画布/密度带来的阅读范围","hard: harder by read/region/anti-local, not only raw chains","solved; bigger canvas/coverage but no unfair choke","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","BreathOrPractice","HardReadBeat","CanvasStep","Mixed/Peel/Shape/Hole","mixed/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"98","10","8","Main/Level_Main_98","shape","2","困难","87","575","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","LatePressureWindow","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"99","10","9","Main/Level_Main_99","normal","2","困难","101","736","section_script_driven","CanvasStep","适应更大画布/密度带来的阅读范围","hard: harder by read/region/anti-local, not only raw chains","solved; bigger canvas/coverage but no unfair choke","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","PeakSetup","HardReadBeat","CanvasStep","Mixed/Peel/Shape/Hole","mixed/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"100","10","10","Main/Level_Main_100","normal","1","普通/恢复","49","378","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","PeakOrLanding","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"101","11","1","Main/Level_Main_101_hole","hole","1","普通/恢复","47","448","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","ResetOpener","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"102","11","2","Main/Level_Main_102","normal","1","普通/恢复","57","378","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","BaselinePractice","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"103","11","3","Main/Level_Main_103","shape","2","困难","102","838","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"104","11","4","Main/Level_Main_104","normal","2","困难","102","747","section_script_driven","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","solved; region/axis switch evidence; choices readable","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","VisualSpatialTurn","HardReadBeat","ReadCheck","Peel/Hub-lite/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"105","11","5","Main/Level_Main_105","normal","2","困难","117","895","section_script_driven","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","solved; region/axis switch evidence; choices readable","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","BridgeRamp","HardReadBeat","ReadCheck","Peel/Hub-lite/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"106","11","6","Main/Level_Main_106","normal","1","普通/恢复","86","641","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","FirstReadWindow","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"107","11","7","Main/Level_Main_107","normal","3","特别困难","105","743","section_script_driven","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","solved; quality gates","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","BreathOrPractice","PeakBeat","StylePeak","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"108","11","8","Main/Level_Main_108","shape","1","普通/恢复","89","624","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","LatePressureWindow","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"109","11","9","Main/Level_Main_109","normal","3","特别困难","108","831","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","PeakSetup","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"110","11","10","Main/Level_Main_110","normal","1","普通/恢复","104","761","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"111","12","1","Main/Level_Main_111","normal","1","普通/恢复","89","693","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"112","12","2","Main/Level_Main_112","normal","3","特别困难","108","823","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","BaselinePractice","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"113","12","3","Main/Level_Main_113","shape","2","困难","97","775","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"114","12","4","Main/Level_Main_114","normal","1","普通/恢复","94","659","section_script_driven","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","solved; visible language difference; pressure stays normal","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"115","12","5","Main/Level_Main_115","normal","1","普通/恢复","74","584","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"116","12","6","Main/Level_Main_116","normal","2","困难","89","673","section_script_driven","LocalRunBreaker","从局部连续清除切换到跨区决策","hard: harder by read/region/anti-local, not only raw chains","solved; local run capped; same-side/directional sweep low; remote switch evidence","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","FirstReadWindow","HardReadBeat","LocalRunBreaker","Peel/Mixed/Hub-lite; require anti-local trace","patch/rail; avoid same-region conveyor","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"117","12","7","Main/Level_Main_117_hole","hole","1","普通/恢复","49","489","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","BreathOrPractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"118","12","8","Main/Level_Main_118","shape","2","困难","95","782","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","LatePressureWindow","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"119","12","9","Main/Level_Main_119","normal","3","特别困难","102","748","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","PeakSetup","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"120","12","10","Main/Level_Main_120","normal","1","普通/恢复","106","821","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"121","13","1","Main/Level_Main_121","normal","1","普通/恢复","51","406","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"122","13","2","Main/Level_Main_122","normal","1","普通/恢复","89","630","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","BaselinePractice","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"123","13","3","Main/Level_Main_123","shape","1","普通/恢复","90","662","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","LanguageTurn","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"124","13","4","Main/Level_Main_124","normal","1","普通/恢复","96","741","section_script_driven","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","solved; visible language difference; pressure stays normal","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","spine-lite/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"125","13","5","Main/Level_Main_125","normal","3","特别困难","93","702","section_script_driven","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","solved; quality gates","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","BridgeRamp","PeakBeat","StylePeak","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"126","13","6","Main/Level_Main_126_hole","hole","1","普通/恢复","50","439","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","FirstReadWindow","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"127","13","7","Main/Level_Main_127","shape","2","困难","96","707","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","BreathOrPractice","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"128","13","8","Main/Level_Main_128","normal","1","普通/恢复","80","640","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","LatePressureWindow","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"129","13","9","Main/Level_Main_129","normal","3","特别困难","102","762","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","PeakSetup","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"130","13","10","Main/Level_Main_130","normal","1","普通/恢复","96","673","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"131","14","1","Main/Level_Main_131","normal","1","普通/恢复","81","548","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"132","14","2","Main/Level_Main_132","normal","2","困难","86","600","section_script_driven","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","solved; region/axis switch evidence; choices readable","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","BaselinePractice","HardReadBeat","ReadCheck","Peel/Hub-lite/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"133","14","3","Main/Level_Main_133","shape","2","困难","94","700","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"134","14","4","Main/Level_Main_134","normal","1","普通/恢复","56","399","section_script_driven","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","solved; visible language difference; pressure stays normal","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"135","14","5","Main/Level_Main_135_hole","hole","1","普通/恢复","52","510","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","BridgeRamp","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
