"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","positionBeatRole","actualBeatRole","sectionDuty","sectionIntent","sectionTheme","slotDutyV2","playerTask","pressureIntent","styleTargetV2","chainLanguageTargetV2","mustChangeFromPrevious","acceptanceFocus","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"110","11","10","Main/Level_Main_110","normal","1","普通/恢复","104","761","PeakOrLanding","PracticeBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","curve/rail","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"111","12","1","Main/Level_Main_111","normal","1","普通/恢复","89","693","ResetOpener","RecoveryBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"112","12","2","Main/Level_Main_112","normal","3","特别困难","108","823","BaselinePractice","PeakBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain-lite","System.Object[]","与前后关保持风格/语言/画布手感差异","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"113","12","3","Main/Level_Main_113","shape","2","困难","97","775","LanguageTurn","HardReadBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"114","12","4","Main/Level_Main_114","normal","1","普通/恢复","94","659","VisualSpatialTurn","VariationBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","Mixed/Peel/Flow","curve","与前后关保持风格/语言/画布手感差异","solved; visible language difference; pressure stays normal","front300-high","","","not_reviewed"
"115","12","5","Main/Level_Main_115","normal","1","普通/恢复","74","584","BridgeRamp","RampBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"116","12","6","Main/Level_Main_116","normal","2","困难","89","673","FirstReadWindow","HardReadBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","LocalRunBreaker","从局部连续清除切换到跨区决策","hard: harder by read/region/anti-local, not only raw chains","Peel/Mixed/Hub-lite; require anti-local trace","patch/rail; avoid same-region conveyor","出现第一次明确读题/区域切换","solved; local run capped; same-side/directional sweep low; remote switch evidence","front300-high","","","not_reviewed"
"117","12","7","Main/Level_Main_117_hole","hole","1","普通/恢复","49","489","BreathOrPractice","SpecialAnchorBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"118","12","8","Main/Level_Main_118","shape","2","困难","95","782","LatePressureWindow","HardReadBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"119","12","9","Main/Level_Main_119","normal","3","特别困难","102","748","PeakSetup","PeakBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain-lite","System.Object[]","为10准备或承担小峰，避免重复8","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"120","12","10","Main/Level_Main_120","normal","1","普通/恢复","106","821","PeakOrLanding","PracticeBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","rail/curve","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"121","13","1","Main/Level_Main_121","normal","1","普通/恢复","51","406","ResetOpener","RecoveryBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"122","13","2","Main/Level_Main_122","normal","1","普通/恢复","89","630","BaselinePractice","PracticeBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","curve/rail","与前后关保持风格/语言/画布手感差异","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"123","13","3","Main/Level_Main_123","shape","1","普通/恢复","90","662","LanguageTurn","SpecialAnchorBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"124","13","4","Main/Level_Main_124","normal","1","普通/恢复","96","741","VisualSpatialTurn","VariationBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","Mixed/Peel/Flow","spine-lite/mixed","与前后关保持风格/语言/画布手感差异","solved; visible language difference; pressure stays normal","front300-high","","","not_reviewed"
"125","13","5","Main/Level_Main_125","normal","3","特别困难","93","702","BridgeRamp","PeakBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","向困难位铺垫，但不能压过困难","solved; quality gates","front300-high","","","not_reviewed"
"126","13","6","Main/Level_Main_126_hole","hole","1","普通/恢复","50","439","FirstReadWindow","SpecialAnchorBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"127","13","7","Main/Level_Main_127","shape","2","困难","96","707","BreathOrPractice","HardReadBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"128","13","8","Main/Level_Main_128","normal","1","普通/恢复","80","640","LatePressureWindow","PracticeBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","curve/rail","若模板为困难则做主困难；若普通则做后段练习","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"129","13","9","Main/Level_Main_129","normal","3","特别困难","102","762","PeakSetup","PeakBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain-lite","System.Object[]","为10准备或承担小峰，避免重复8","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"130","13","10","Main/Level_Main_130","normal","1","普通/恢复","96","673","PeakOrLanding","PracticeBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","curve/rail","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"131","14","1","Main/Level_Main_131","normal","1","普通/恢复","81","548","ResetOpener","RecoveryBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"132","14","2","Main/Level_Main_132","normal","2","困难","86","600","BaselinePractice","HardReadBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","与前后关保持风格/语言/画布手感差异","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"133","14","3","Main/Level_Main_133","shape","2","困难","94","700","LanguageTurn","HardReadBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"134","14","4","Main/Level_Main_134","normal","1","普通/恢复","56","399","VisualSpatialTurn","VariationBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","Mixed/Peel/Flow","mixed","与前后关保持风格/语言/画布手感差异","solved; visible language difference; pressure stays normal","front300-high","","","not_reviewed"
"135","14","5","Main/Level_Main_135_hole","hole","1","普通/恢复","52","510","BridgeRamp","SpecialAnchorBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"136","14","6","Main/Level_Main_136","normal","4","极难","113","817","FirstReadWindow","ExtremePeakBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","出现第一次明确读题/区域切换","solved; chapter top effective load; theme clear; fair choices","front300-high","","","not_reviewed"
"137","14","7","Main/Level_Main_137","normal","1","普通/恢复","80","639","BreathOrPractice","RecoveryBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","rail/mixed","从6回落或换语言释放","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"138","14","8","Main/Level_Main_138","shape","2","困难","99","729","LatePressureWindow","HardReadBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"139","14","9","Main/Level_Main_139","normal","1","普通/恢复","101","761","PeakSetup","RampBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","为10准备或承担小峰，避免重复8","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"140","14","10","Main/Level_Main_140","normal","2","困难","102","769","PeakOrLanding","HardReadBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","本组落点；要有记忆点或清晰收束","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"141","15","1","Main/Level_Main_141","normal","1","普通/恢复","114","880","ResetOpener","RecoveryBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","curve/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"142","15","2","Main/Level_Main_142_hole","hole","1","普通/恢复","50","536","BaselinePractice","SpecialAnchorBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"143","15","3","Main/Level_Main_143","shape","1","普通/恢复","87","755","LanguageTurn","SpecialAnchorBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"144","15","4","Main/Level_Main_144","normal","3","特别困难","113","866","VisualSpatialTurn","PeakBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","与前后关保持风格/语言/画布手感差异","solved; quality gates","front300-high","","","not_reviewed"
"145","15","5","Main/Level_Main_145","normal","1","普通/恢复","95","704","BridgeRamp","RampBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"146","15","6","Main/Level_Main_146","normal","1","普通/恢复","95","668","FirstReadWindow","PracticeBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","rail/curve","出现第一次明确读题/区域切换","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"147","15","7","Main/Level_Main_147","shape","1","普通/恢复","100","858","BreathOrPractice","SpecialAnchorBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"148","15","8","Main/Level_Main_148","normal","2","困难","111","851","LatePressureWindow","HardReadBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","LocalRunBreaker","从局部连续清除切换到跨区决策","hard: harder by read/region/anti-local, not only raw chains","Peel/Mixed/Hub-lite; require anti-local trace","patch/rail; avoid same-region conveyor","若模板为困难则做主困难；若普通则做后段练习","solved; local run capped; same-side/directional sweep low; remote switch evidence","front300-high","","","not_reviewed"
"149","15","9","Main/Level_Main_149","normal","4","极难","114","843","PeakSetup","ExtremePeakBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","为10准备或承担小峰，避免重复8","solved; chapter top effective load; theme clear; fair choices","front300-high","","","not_reviewed"
"150","15","10","Main/Level_Main_150","normal","1","普通/恢复","104","725","PeakOrLanding","PracticeBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","rail/curve","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"151","16","1","Main/Level_Main_151_hole","hole","2","困难","84","810","ResetOpener","HardReadBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","HoleReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Hole/Mixed/Peel","theme language; avoid neighbor repetition","从上一组峰值回落；不要延续同一高压语言","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"152","16","2","Main/Level_Main_152","normal","2","困难","106","804","BaselinePractice","HardReadBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","与前后关保持风格/语言/画布手感差异","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"153","16","3","Main/Level_Main_153","shape","2","困难","115","1045","LanguageTurn","HardReadBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"154","16","4","Main/Level_Main_154","normal","3","特别困难","113","858","VisualSpatialTurn","PeakBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain/Hub","System.Object[]","与前后关保持风格/语言/画布手感差异","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"155","16","5","Main/Level_Main_155","normal","1","普通/恢复","84","615","BridgeRamp","RampBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"156","16","6","Main/Level_Main_156","normal","3","特别困难","94","737","FirstReadWindow","PeakBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain/Hub","System.Object[]","出现第一次明确读题/区域切换","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"157","16","7","Main/Level_Main_157","normal","1","普通/恢复","84","649","BreathOrPractice","RecoveryBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","curve/mixed","从6回落或换语言释放","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"158","16","8","Main/Level_Main_158","shape","2","困难","99","835","LatePressureWindow","HardReadBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"159","16","9","Main/Level_Main_159","normal","2","困难","100","766","PeakSetup","HardReadBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","为10准备或承担小峰，避免重复8","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"160","16","10","Main/Level_Main_160","normal","1","普通/恢复","76","638","PeakOrLanding","PracticeBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","curve/rail","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"161","17","1","Main/Level_Main_161","normal","1","普通/恢复","53","506","ResetOpener","RecoveryBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"162","17","2","Main/Level_Main_162","normal","1","普通/恢复","95","705","BaselinePractice","PracticeBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","rail/curve","与前后关保持风格/语言/画布手感差异","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"163","17","3","Main/Level_Main_163","shape","1","普通/恢复","99","676","LanguageTurn","SpecialAnchorBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"164","17","4","Main/Level_Main_164","normal","3","特别困难","114","861","VisualSpatialTurn","PeakBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","与前后关保持风格/语言/画布手感差异","solved; quality gates","front300-high","","","not_reviewed"
"165","17","5","Main/Level_Main_165","normal","1","普通/恢复","86","655","BridgeRamp","RampBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"166","17","6","Main/Level_Main_166","normal","2","困难","119","745","FirstReadWindow","HardReadBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","出现第一次明确读题/区域切换","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"167","17","7","Main/Level_Main_167_hole","hole","1","普通/恢复","53","485","BreathOrPractice","SpecialAnchorBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"168","17","8","Main/Level_Main_168","shape","2","困难","110","986","LatePressureWindow","HardReadBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"169","17","9","Main/Level_Main_169","normal","3","特别困难","124","987","PeakSetup","PeakBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain/Hub","System.Object[]","为10准备或承担小峰，避免重复8","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"170","17","10","Main/Level_Main_170","normal","1","普通/恢复","104","796","PeakOrLanding","PracticeBeat","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","NormalPractice","练习本段主语言，稳定推进","normal baseline","Peel/Mixed","rail/curve","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"171","18","1","Main/Level_Main_171","normal","1","普通/恢复","108","814","ResetOpener","RecoveryBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","局部连消打断 + 区域切换 / VariationRead","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Peel/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
