order,section10,mainMissionId,levelName,category,difficultyNameZh,experienceRole,roleInSection,finalStatus,finalLevelId,finalAssetPath,originalLevelId,originalAssetPath,replacementSourceKind,productionLane,productionChainLanguage,productionDifficultyBand,sourceCoverage,maxChoices,localPatchSolveRunMax,nearOuterPatchSolveRunMax,solveTraceQualityScore,solveTraceCollapseRiskScore,solveSameAxisRunMax,solveSameDirHeadRunMax,assemblyAction,assemblySourcePool,assemblySourceRoot,assemblyGateClass,assemblySelectionReason,assemblyCopyRequired,assemblyCandidateLevelId,assemblyCandidateAssetPath,assemblyCandidateStyle,assemblyCandidateChainLanguage,assemblyCandidateRole,assemblyManualReview,assemblyRemainingGap,assemblyGapReason,assemblyCandidateWidth,assemblyCandidateHeight,assemblyCandidateChains,assemblyCandidateAvgChoices,assemblyCandidateMaxChain,assemblyCandidateAvgChain,assemblyCandidateStraightness,assemblyCandidateProfile
121,13,221,Main/Level_Main_121,normal,普通/恢复,Recovery,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset,nomask_04_maze_long_chain,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L121_nomask_04_maze_long_chain.asset,normal,Campaign500NormalFullV1UnusedStrict,mixed_chain,NormalNeutral,0.994,8,5,5,0.803,0.259,7,7,ActiveReplace,Campaign500NormalFullV1UnusedStrict,,CampaignStrictSupplementFront300,front300_priority_v3|primary145=False|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset,psg_like_neutral,mixed_chain,NormalNeutral,False,False,,22,30,76,,21,8.63,0.45,
122,13,222,Main/Level_Main_122,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L122_direct_pure_normal_extra_01_19_direct_normal_pure_.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.991,10,4,4,0.886,0.217,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,Campaign500NormalFullV1:w11c
123,13,223,Main/Level_Main_123,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_22_L123_car_core,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset,r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L123_r2_outer_strong_005_r2_006_a401_maskonlyb04_08_mai.asset,shape_psg_inventory,,,,0.993,7,10,3,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_review_top3_rescue_22_L123_car_core,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset,CoreBurst,,TraceKeeper,False,False,,,,86,4.03,,,,CoreBurst
124,13,224,Main/Level_Main_124,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset,direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L124_direct_diff120_56_direct_diff_normal_dag_unlock_ce.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.994,9,7,5,0.86,0.217,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_371
125,13,225,Main/Level_Main_125,normal,特别困难,Pressure,Hard,ReplacedFront300PriorityV3,c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L125_direct_pure_normal_extra_01_20_direct_normal_pure_.asset,normal,Campaign500_HardGateUntil0910,,,0.99,9,5,4,0.888,0.144,6,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ReplacedHardGate0910,False,c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset,,,,False,False,,,,,,,,,c5hole_lowchoice_v1_h03r_order148_shortroot1_trace_joined.csv
126,13,226,Main/Level_Main_126_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,hole_candidate_016_std_20x26_section,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L126_hole_candidate_016_std_20x26_section.asset,hole_candidate_016_std_20x26_section,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L126_hole_candidate_016_std_20x26_section.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
127,13,227,Main/Level_Main_127,shape,困难,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L127_r2_outer_strong_005_r2_006_a401_maskonlyb01_01_mai.asset,shape_psg_inventory,,,,0.992,11,10,2,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset,LockBuckle,,TraceKeeper,False,False,,,,88,5.43,,,,LockBuckle
128,13,228,Main/Level_Main_128,normal,普通/恢复,Normal,NormalB_NeutralOrPeelLight,ReplacedFront300PriorityV3,c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset,direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L128_direct_pure_normal_extra_01_02_direct_normal_pure_.asset,normal,Campaign500NormalFullV1UnusedStrict,mixed_chain,NormalNeutral,0.988,9,7,5,0.827,0.282,7,7,ActiveReplace,Campaign500NormalFullV1UnusedStrict,,CampaignStrictSupplementFront300,front300_priority_v3|primary145=False|class=neutral|oldStatus=ReplacedHardGate0910,False,c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset,psg_like_neutral,mixed_chain,NormalNeutral,False,False,,24,32,79,,21,9.61,0.519,
129,13,229,Main/Level_Main_129,normal,特别困难,Pressure,Peak,ReplacedFront300PriorityV3,c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L129_direct_normal_topup_30_direct_normal_topup_rect_st.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,Peak,0.978,8,4,3,0.859,0.198,6,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ReplacedHardGate0910,False,c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset,,mixed_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w12a
130,13,230,Main/Level_Main_130,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain.asset,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L130_direct_pure_topup_06_07_direct_normal_pure_rect_du.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.985,10,6,4,0.86,0.134,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_406
131,14,231,Main/Level_Main_131,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L131_direct_pure_topup_04_01_direct_normal_pure_rect_ou.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.991,10,5,2,0.914,0.14,8,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_422
132,14,232,Main/Level_Main_132,normal,困难,Pressure,,ReplacedFront300PriorityV3,c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L132_direct_pure_topup_04_22_direct_normal_pure_rect_co.asset,normal,Campaign500_HardGateUntil0910,rail_chain,Peak,0.986,9,6,4,0.868,0.232,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=OriginalNonTarget,False,c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset,,rail_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w13a
133,14,233,Main/Level_Main_133,shape,困难,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_next10b_03_L133_musicnote,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L133_r2_outer_strong_005_r2_006_a401_maskonlyb01_05_lar.asset,shape_psg_inventory,,,,0.986,11,7,4,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_next10b_03_L133_musicnote,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset,Sweep,,TraceKeeper,False,False,,,,88,6.5,,,,Sweep
134,14,234,Main/Level_Main_134,normal,普通/恢复,Normal,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L134_direct_pure_topup_01_24_direct_refresh_topup_rect_.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.993,9,5,3,0.836,0.221,8,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_366
135,14,235,Main/Level_Main_135_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L135_hole_topup_012_topup_tall_20x30_shell.asset,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L135_hole_topup_012_topup_tall_20x30_shell.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
136,14,236,Main/Level_Main_136,normal,极难,Peak,Peak,ReplacedFront300PriorityV3,c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L136_direct_normal_39_direct_normal_rect_quasi_symmetry.asset,normal,Campaign500_HardGateUntil0910,rail_chain,Peak,0.982,10,4,3,0.937,0.086,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ReplacedHardGate0910,False,c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset,,rail_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w11b
137,14,237,Main/Level_Main_137,normal,普通/恢复,Normal,NormalB_NeutralOrPeelLight,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L137_direct_pure_topup_04_19_direct_normal_pure_rect_lo.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.984,9,5,3,0.87,0.217,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_395
138,14,238,Main/Level_Main_138,shape,困难,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_next10b_04_L138_bowlingpin,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset,r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L138_r2_outer_strong_005_r2_006_a401_maskonlyb05_03_mai.asset,shape_psg_inventory,,,,0.995,9,11,2,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_next10b_04_L138_bowlingpin,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset,SectionUnlock,,TraceKeeper,False,False,,,,90,5.47,,,,SectionUnlock
139,14,239,Main/Level_Main_139,normal,普通/恢复,Recovery,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset,direct_normal_68_direct_normal_rect_stair_push_g0_v07,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L139_direct_normal_68_direct_normal_rect_stair_push_g0_.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.982,9,7,2,0.869,0.246,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_464
140,14,240,Main/Level_Main_140,normal,困难,Normal,Hard,ReplacedFront300PriorityV3,c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain.asset,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L140_direct_normal_92_direct_normal_rect_section_unlock.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.989,10,5,3,0.868,0.141,5,4,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,Campaign500NormalFullV1:w6nm
141,15,241,Main/Level_Main_141,normal,普通/恢复,Recovery,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset,direct_normal_35_direct_normal_rect_sweep_g3_v04,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L141_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.982,9,7,5,0.824,0.238,8,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_457
142,15,242,Main/Level_Main_142_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,hole_candidate_038_std_26x24_dual,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L142_hole_candidate_038_std_26x24_dual.asset,hole_candidate_038_std_26x24_dual,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L142_hole_candidate_038_std_26x24_dual.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
143,15,243,Main/Level_Main_143,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset,r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L143_r2_outer_strong_005_r2_006_a401_maskonlyb05_19_lar.asset,shape_psg_inventory,,,,0.987,8,7,6,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset,DenseWeave,,TraceKeeper,False,False,,,,89,4.54,,,,DenseWeave
