order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
253,Shape,Novelty,E_early_peak,normal,shape_space,shape_final_with_supplement,111,307,16,13.76,12,r2_outer_strong_005_r2_006_a401_procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212.asset,shape:Space:sci-fi:vehicle:procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212,rel:Hard:ShapePressure:Shape:Space:sci-fi:vehicle:main,Normal
254,Normal,Normal,E_early_peak,normal,section,direct_normal_topup_candidates,101,168.6,12,8.70,430,direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05.asset,direct_normal:stair_push:g10,ok,ok
255,Recovery,Recovery,E_early_peak,normal,dense,direct_normal_candidates,110,147.5,23,8.17,525,direct_normal_151_direct_normal_rect_outer_shell_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_151_direct_normal_rect_outer_shell_g3_v16.asset,asset:direct_normal_151_direct_normal_,ok,ok
256,Peak,VeryHard,E_early_peak,hard,section,direct_polish_hard_candidates,159,161.6,13,7.09,964,direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01.asset,direct_polish:quasi_symmetry:g4,ok,ok
257,Normal,Normal,E_early_peak,normal,lock,direct_normal_candidates,107,159.6,20,7.63,446,direct_normal_153_direct_normal_rect_lock_buckle_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_153_direct_normal_rect_lock_buckle_g3_v16.asset,direct_normal:lock_buckle:g3,ok,ok
258,Shape,Novelty,E_early_peak,normal,shape_ocean,shape_final_with_supplement,110,301,15,12.9,12.5,r2_outer_strong_005_r2_006_a401_procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225.asset,shape:Ocean:shoreline:object:procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225,rel:Novelty:ShapeVisual:Shape:Ocean:shoreline:object:main,Normal
259,Recovery,Recovery,E_early_peak,hard,sweep,direct_pure_topup_slice10_candidates,126,164.4,20,10.44,567,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset,asset:direct_pure_topup_10_18_direct_p,ok,ok
260,Normal,Normal,E_early_peak,normal,section,direct_normal_candidates,101,173.0,15,7.40,461,direct_normal_78_direct_normal_rect_stair_push_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_78_direct_normal_rect_stair_push_g1_v08.asset,direct_normal:stair_push:g1,ok,ok
261,Recovery,Recovery,A_peak9,hard,sweep,direct_normal_candidates,120,163.8,20,7.76,573,direct_normal_75_direct_normal_rect_sweep_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_75_direct_normal_rect_sweep_g1_v08.asset,direct_normal:sweep:g1,ok,ok
262,Normal,Normal,A_peak9,normal,dense,direct_pure_topup_slice05_candidates,101,158.1,17,7.81,462,direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06.asset,direct_normal:dense_weave:g11,ok,ok
263,Shape,Novelty,A_peak9,normal,shape_toolui,shape_final_with_supplement,115,295,16,13.76,12.6,r2_outer_strong_005_r2_006_a401_procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359.asset,shape:ToolUI:digital-tools:object:procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359,rel:Normal:ShapeNormal:Shape:ToolUI:digital-tools:object:main,Normal
264,Pressure,Hard,A_peak9,hard,lock,direct_pure_topup_slice10_candidates,157,162.0,15,10.23,893,direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09.asset,direct_polish:core_burst:g11,ok,ok
265,Recovery,Recovery,A_peak9,normal,maze,direct_normal_candidates,104,161.7,21,7.34,506,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset,direct_normal:maze_long_chain:g0,ok,ok
266,Normal,Normal,A_peak9,refresh,section,direct_pure_topup_slice04_candidates,97,165.5,10,6.52,400,direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02.asset,direct_normal:section_unlock:g7,ok,ok
267,HoleRescue,Mechanic,hole10_block_261_270,normal,hole_rescue,hole_combined_20260613,61,253,7,0.115,0.19,hole_candidate_025_std_22x28_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset,hole_combined:SectionUnlock:std_22x28_section,hole10_v4:SectionUnlock:keep,hole10_v4_keep
268,Shape,Novelty,A_peak9,shape,shape_magic,shape_final_with_supplement,118,313,17,14.62,0.186,r2_outer_strong_005_r2_006_a401_procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall_20260611_111404.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide|BottleneckHeavy,Normal
269,Peak,RelativeExtreme,A_peak9,very_hard,lock,direct_advanced_candidates,203,120.2,21,13.53,1072,direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03.asset,direct_advanced:lock_buckle:g2,ok,ok
270,Normal,Normal,A_peak9,normal,section,direct_normal_candidates,114,157.4,21,8.98,539,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset,direct_normal:dual_zone:g2,ok,ok
271,Recovery,Recovery,F_chapter_breath,normal,maze,direct_pure_topup_slice05_candidates,114,147.6,18,9.52,418,direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05.asset,direct_normal:maze_long_chain:g10,ok,ok
272,Normal,Normal,F_chapter_breath,normal,lock,direct_normal_candidates,111,164.2,21,7.16,513,direct_normal_96_direct_normal_rect_core_burst_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_96_direct_normal_rect_core_burst_g3_v10.asset,direct_normal:core_burst:g3,ok,ok
273,Shape,Novelty,F_chapter_breath,normal,shape_toolui,shape_final_with_supplement,114,305,16,13.76,12.5,r2_outer_strong_005_r2_006_a401_procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400.asset,shape:ToolUI:digital-tools:object:procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400,rel:Novelty:ShapeVisual:Shape:ToolUI:digital-tools:object:main,Normal
274,Pressure,Hard,F_chapter_breath,normal,section,direct_normal_candidates,110,173.0,16,6.66,632,direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02.asset,direct_normal:quasi_symmetry:g1,ok,ok
275,Normal,Normal,F_chapter_breath,normal,dense,direct_normal_candidates,106,142.4,18,8.19,484,direct_normal_04_direct_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_04_direct_normal_rect_dense_weave_g0_v01.asset,direct_normal:dense_weave:g0,ok,ok
276,Peak,RelativeExtreme,F_chapter_breath,very_hard,section,direct_advanced_candidates,201,141.0,17,8.98,1194,direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_20_direct_advanced_veryhard_rect_dual_zone_g2_v03.asset,direct_advanced:dual_zone:g2,ok,ok
277,HoleRescue,Mechanic,hole10_block_271_280,normal,hole_rescue,hole_combined_20260613,61,253,4,0.066,0.269,hole_topup_030_topup_std_26x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset,hole_combined:DualZone:topup_std_26x26_dual,hole10_v4:DualZone:keep,hole10_v4_keep
278,Shape,Novelty,F_chapter_breath,normal,shape_ocean,shape_final_with_supplement,119,307,17,14.62,12.6,r2_outer_strong_005_r2_006_a401_procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458.asset,shape:Ocean:sea-creature:creature:procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458,rel:VeryHard:ShapePeak:Shape:Ocean:sea-creature:creature:main,Normal
279,Normal,Normal,F_chapter_breath,normal,section,direct_normal_topup_candidates,107,154.1,19,6.90,578,direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_14_direct_normal_topup_rect_stair_push_g7_v02.asset,direct_normal:stair_push:g7,ok,ok
280,Normal,Normal,F_chapter_breath,normal,lock,direct_normal_candidates,107,158.2,17,7.43,459,direct_normal_113_direct_normal_rect_lock_buckle_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_113_direct_normal_rect_lock_buckle_g5_v12.asset,direct_normal:lock_buckle:g5,ok,ok
281,Recovery,Recovery,B_peak7_end_calm,normal,sweep,direct_normal_candidates,107,164.1,16,9.39,487,direct_normal_95_direct_normal_rect_sweep_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_95_direct_normal_rect_sweep_g3_v10.asset,direct_normal:sweep:g3,ok,ok
282,Normal,Normal,B_peak7_end_calm,normal,dense,direct_normal_candidates,107,157.5,17,8.88,435,direct_normal_114_direct_normal_rect_dense_weave_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_114_direct_normal_rect_dense_weave_g5_v12.asset,direct_normal:dense_weave:g5,ok,ok
283,Shape,Novelty,B_peak7_end_calm,normal,shape_toolui,shape_final_with_supplement,118,303,17,14.62,12.4,r2_outer_strong_005_r2_006_a401_procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334.asset,shape:ToolUI:digital-tools:object:procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334,rel:Hard:ShapePressure:Shape:ToolUI:digital-tools:object:main,Normal
284,Pressure,Hard,B_peak7_end_calm,hard,lock,direct_pure_topup_slice07_candidates,167,161.7,20,9.71,878,direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_24_direct_polish_hard_pure_rect_core_burst_g11_v03.asset,direct_polish:core_burst:g11,ok,ok
285,HoleRescue,Mechanic,hole10_block_281_290,normal,hole_rescue,hole_combined_20260613,62,253,12,0.194,0.248,hole_topup_025_topup_std_24x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset,hole_combined:MazeLongChain:topup_std_24x28_maze,hole10_v4:MazeLongChain:keep,hole10_v4_keep
286,Normal,Normal,B_peak7_end_calm,normal,section,direct_normal_topup_candidates,107,165.2,17,7.30,475,direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset,direct_normal:quasi_symmetry:g10,ok,ok
287,Peak,RelativeExtreme,B_peak7_end_calm,extreme,lock,direct_advanced_candidates,280,115.4,26,11.43,2122,direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02.asset,direct_advanced:lock_buckle:g5,ok,ok
288,Shape,Novelty,B_peak7_end_calm,normal,shape_ocean,shape_final_with_supplement,118,314,17,14.62,12.4,r2_outer_strong_005_r2_006_a401_procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253.asset,shape:Ocean:diving-gear:equipment:procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253,rel:Normal:ShapeNormal:Shape:Ocean:diving-gear:equipment:transition,Normal
289,Pressure,Hard,B_peak7_end_calm,normal,section,direct_normal_candidates,115,159.2,16,7.74,627,direct_normal_38_direct_normal_rect_stair_push_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_38_direct_normal_rect_stair_push_g3_v04.asset,direct_normal:stair_push:g3,ok,ok
290,Recovery,Recovery,B_peak7_end_calm,normal,section,direct_normal_candidates,114,141.4,17,12.00,493,direct_normal_82_direct_normal_rect_section_unlock_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset,direct_normal:section_unlock:g2,ok,ok
291,Recovery,Recovery,C_double_wave,normal,dense,direct_normal_topup_candidates,106,154.3,21,9.74,498,direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset,direct_normal:dense_weave:g11,ok,ok
292,HoleRescue,Mechanic,hole10_block_291_300,normal,hole_rescue,hole_combined_20260613,62,253,11,0.177,0.266,hole_candidate_040_std_26x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset,hole_combined:SectionUnlock:std_26x26_section,hole10_v4:SectionUnlock:keep,hole10_v4_keep
293,Shape,Novelty,C_double_wave,normal,shape_landmark,shape_final_with_supplement,119,314,17,14.62,12.6,r2_outer_strong_005_r2_006_a401_procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830.asset,shape:Landmark:architecture:landmark:procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830,rel:Novelty:ShapeVisual:Shape:Landmark:architecture:landmark:transition,Normal
294,Recovery,Recovery,C_double_wave,normal,sweep,direct_normal_candidates,110,149.3,16,9.12,504,direct_normal_155_direct_normal_rect_sweep_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_155_direct_normal_rect_sweep_g3_v16.asset,direct_normal:sweep:g3,ok,ok
295,Normal,Normal,C_double_wave,normal,section,direct_normal_topup_candidates,105,170.5,15,6.93,454,direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07.asset,direct_normal:dual_zone:g6,ok,ok
296,Pressure,Hard,C_double_wave,hard,lock,direct_pure_topup_slice10_candidates,163,163.3,13,7.93,896,direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset,direct_polish:core_burst:g10,ok,ok
297,Normal,Normal,C_double_wave,normal,section,direct_normal_candidates,114,150.2,16,8.97,441,direct_normal_128_direct_normal_rect_stair_push_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_128_direct_normal_rect_stair_push_g0_v13.asset,direct_normal:stair_push:g0,ok,ok
298,Shape,Novelty,C_double_wave,shape,shape_magic,shape_final_with_supplement,122,314,17,14.62,0.194,r2_outer_strong_005_r2_006_a401_procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall_20260611_110904.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:BottleneckHeavy|GrindyLowClear,Normal
299,Peak,RelativeExtreme,C_double_wave,extreme,lock,direct_advanced_candidates,318,112.2,22,13.54,2470,direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01.asset,direct_advanced:core_burst:g4,ok,ok
300,Recovery,Recovery,C_double_wave,normal,maze,direct_normal_candidates,110,157.8,19,8.69,503,direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset,direct_normal:maze_long_chain:g4,ok,ok
301,HoleRescue,Mechanic,hole10_block_301_310,normal,hole_rescue,hole_combined_20260613,65,256,11,0.169,0.225,hole_topup_033_topup_std_26x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset,hole_combined:DualZone:topup_std_26x28_dual,hole10_v4:DualZone:keep,hole10_v4_keep
302,Normal,Normal,D_visual_middle,normal,dense,direct_normal_topup_candidates,102,174.3,16,7.14,412,direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset,direct_normal:dense_weave:g6,ok,ok
303,Shape,Novelty,D_visual_middle,shape,shape_landmark,shape_final_with_supplement,120,325,17,14.62,0.19,r2_outer_strong_005_r2_006_a401_procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
304,Normal,Normal,D_visual_middle,hard,section,direct_normal_candidates,122,160.0,25,9.33,598,direct_normal_138_direct_normal_rect_stair_push_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_138_direct_normal_rect_stair_push_g1_v14.asset,direct_normal:stair_push:g1,ok,ok
305,Pressure,Hard,D_visual_middle,very_hard,lock,direct_advanced_candidates,181,141.2,17,9.82,1197,direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03.asset,direct_advanced:core_burst:g2,ok,ok
306,Recovery,Recovery,D_visual_middle,normal,maze,direct_pure_normal_extra_slice01_candidates,108,167.9,20,7.52,535,direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03.asset,direct_normal:maze_long_chain:g17,ok,ok
307,Shape,Novelty,D_visual_middle,normal,shape_ocean,shape_final_with_supplement,122,322,17,14.62,13,r2_outer_strong_005_r2_006_a401_procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302.asset,shape:Ocean:sea-creature:creature:procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:transition,Normal
308,Normal,Normal,D_visual_middle,normal,section,direct_pure_topup_slice05_candidates,106,168.5,12,9.04,479,direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05.asset,direct_normal:dual_zone:g10,ok,ok
309,Pressure,Hard,D_visual_middle,very_hard,lock,direct_advanced_candidates,200,112.3,21,15.39,1175,direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06.asset,direct_advanced:lock_buckle:g1,ok,ok
310,Normal,Normal,D_visual_middle,normal,section,direct_normal_candidates,111,152.9,19,6.87,604,direct_normal_58_direct_normal_rect_stair_push_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset,direct_normal:stair_push:g5,ok,ok
311,Normal,Normal,E_early_peak,normal,maze,direct_pure_topup_slice06_candidates,103,170.9,16,8.71,471,direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08.asset,direct_normal:maze_long_chain:g7,ok,ok
312,Pressure,Hard,E_early_peak,hard,lock,direct_pure_topup_slice09_candidates,134,165.4,20,9.34,678,direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07.asset,asset:direct_pure_topup_09_22_direct_p,ok,ok
313,Shape,Novelty,E_early_peak,normal,shape_music,shape_final_with_supplement,121,330,17,14.62,12.8,r2_outer_strong_005_r2_006_a401_procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312.asset,shape:Music:stage:object:procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312,rel:Hard:ShapePressure:Shape:Music:stage:object:main,Normal
314,Normal,Normal,E_early_peak,normal,dense,direct_normal_candidates,112,152.2,22,7.91,528,direct_normal_101_direct_normal_rect_outer_shell_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_101_direct_normal_rect_outer_shell_g4_v11.asset,asset:direct_normal_101_direct_normal_,ok,ok
315,Recovery,Recovery,E_early_peak,normal,sweep,direct_normal_topup_candidates,116,147.7,17,8.53,675,direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10.asset,direct_normal:sweep:g9,ok,ok
316,Peak,RelativeExtreme,E_early_peak,extreme,section,direct_advanced_candidates,318,119.0,26,9.07,2770,direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02.asset,direct_advanced:dual_zone:g5,ok,ok
317,HoleRescue,Mechanic,hole10_block_311_320,normal,hole_rescue,hole_combined_20260613,65,256,13,0.2,0.222,hole_candidate_053_std_28x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset,hole_combined:MazeLongChain:std_28x28_maze,hole10_v4:MazeLongChain:keep,hole10_v4_keep
318,Shape,Novelty,E_early_peak,normal,shape_character,shape_final_with_supplement,126,333,18,15.48,13,r2_outer_strong_005_r2_006_a401_procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall_20260611_110835.asset,shape:Character:animals-mascots:character:procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall_20260611_110835,rel:VeryHard:ShapePeak:Shape:Character:animals-mascots:character:main,Normal
319,Recovery,Recovery,E_early_peak,normal,lock,direct_normal_candidates,115,145.7,24,9.64,576,direct_normal_143_direct_normal_rect_lock_buckle_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_143_direct_normal_rect_lock_buckle_g2_v15.asset,direct_normal:lock_buckle:g2,ok,ok
320,Normal,Normal,E_early_peak,normal,section,direct_normal_candidates,114,162.4,17,8.20,556,direct_normal_18_direct_normal_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_18_direct_normal_rect_stair_push_g1_v02.asset,direct_normal:stair_push:g1,ok,ok
