"order","section10","category","difficultyNameZh","experienceRole","replacementMark","isChangedFromOriginalTemplate","finalStatus","assemblyAction","loadMode","originalLevelId","originalAssetPath","finalLevelId","finalAssetPath","actualLoadedAssetPath","actualLoadedGuid","syncAssetPath","replacementSourcePool","replacementSourceKind","assemblyGateClass","productionLane","productionStyle","productionChainLanguage","rhythmStyleGroup","sectionWaveRole","rhythmStageBand","templateTargetChains","actualChains","effectiveChainLoad","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore","rhythmPlacementReason","assemblySelectionReason"
"68","7","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L068_direct_pure_topup_03_14_direct_refresh_topup_rect_.asset","campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","92ae28f4aaefe2a4c89b146e6d9fe5f9","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowCurve","flow","rail_chain","flow","Normal","S01_light_ramp","59","52","58.01","0.985","10","4","0.898","target=59;stageTarget=59;effective=58.0;chains=52;role=Normal;style=flow;chain=rail_chain;cost=38.4","rhythm_v4|target=59;stageTarget=59;effective=58.0;chains=52;role=Normal;style=flow;chain=rail_chain;cost=38.4"
"69","7","normal","特别困难","Pressure","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_48_direct_normal_rect_stair_push_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L069_direct_normal_48_direct_normal_rect_stair_push_g4_.asset","c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","be3b09d0a89f7104e8479f676cbd7238","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PressurePeak","hardgate","mixed_chain","hardgate","Hard","S01_light_ramp","100","94","99.46","0.983","9","5","0.936","target=100;stageTarget=96;effective=99.5;chains=94;role=Hard;style=hardgate;chain=mixed_chain;cost=31.6","rhythm_v4|target=100;stageTarget=96;effective=99.5;chains=94;role=Hard;style=hardgate;chain=mixed_chain;cost=31.6"
"70","7","normal","困难","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L070_direct_normal_139_direct_normal_rect_quasi_symmetr.asset","c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","8e426a1ed8a83ba409203e5fc4f158bc","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","normal","RhythmV4Front300TraceKeep","PeelMid","peel","rail_chain","peel","Hard","S01_light_ramp","103","81","91.80","0.987","10","6","0.818","target=103;stageTarget=96;effective=91.8;chains=81;role=Hard;style=peel;chain=rail_chain;cost=41.9","rhythm_v4|target=103;stageTarget=96;effective=91.8;chains=81;role=Hard;style=peel;chain=rail_chain;cost=41.9"
"71","8","hole","普通/恢复","HoleRescue","KEPT_CURRENT","False","OriginalNonTarget","KeepCurrent","BasePreviewFallback","hole_candidate_019_std_22x24_section","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L071_hole_candidate_019_std_22x24_section.asset","hole_candidate_019_std_22x24_section","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L071_hole_candidate_019_std_22x24_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","9f62c2305d1d87741ab8b75a1464a1b5","U/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","","","","","","","","HoleRescue","S01_light_ramp","45","","","","","","","unchanged_from_v3_or_non_normal",""
"72","8","normal","特别困难","Pressure","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L072_direct_normal_topup_66_direct_normal_topup_rect_lo.asset","c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","8460e0b7b114c484995f72574fe4943d","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PressurePeak","hardgate","mixed_chain","hardgate","PeakExtreme","S01_light_ramp","104","86","98.16","0.988","10","3","0.885","target=104;stageTarget=96;effective=98.2;chains=86;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=19.5","rhythm_v4|target=104;stageTarget=96;effective=98.2;chains=86;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=19.5"
"73","8","shape","普通/恢复","Shape","KEPT_SHAPE_FALLBACK","False","OriginalNonTarget","KeepOriginalShapeFallback","BasePreviewFallback","r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L073_r2_outer_strong_005_r2_006_a401_maskonlyb08_06_com.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L073_r2_outer_strong_005_r2_006_a401_maskonlyb08_06_com.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","c27608691b37de3449510e2c6e26b377","U/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","ShapeMaskInventory","","ShapePendingGeneration","","","","","Shape","S01_light_ramp","82","","","","","","","unchanged_from_v3_or_non_normal","Shape candidate has no formal asset yet; keep original V11 level so every shape still has a playable level."
"74","8","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L074_direct_pure_normal_extra_01_21_direct_normal_pure_.asset","c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","b5ce5c891ec5ec04f9941849d1684bd2","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","normal","RhythmV4Front300TraceKeep","PeelMid","peel","rail_chain","peel","Normal","S01_light_ramp","87","82","89.34","0.988","10","5","0.814","target=87;stageTarget=84;effective=89.3;chains=82;role=Normal;style=peel;chain=rail_chain;cost=55.8","rhythm_v4|target=87;stageTarget=84;effective=89.3;chains=82;role=Normal;style=peel;chain=rail_chain;cost=55.8"
"75","8","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_121_direct_normal_rect_outer_shell_g0_v13","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L075_direct_normal_121_direct_normal_rect_outer_shell_g.asset","c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","eb508cb65fb4a1643abb9495046cbd26","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PressurePeak","hardgate","mixed_chain","hardgate","Hard","S01_light_ramp","103","83","95.16","0.992","9","6","0.853","target=103;stageTarget=96;effective=95.2;chains=83;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9","rhythm_v4|target=103;stageTarget=96;effective=95.2;chains=83;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9"
"76","8","normal","特别困难","Peak","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L076_direct_pure_normal_extra_02_06_direct_normal_pure_.asset","nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","78420e0c194d0ca46bc1f2280126ca68","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","NutationLongChainStrict60Front300","normal","RhythmV4Front300TraceKeep","maze_long_chain","longchain","spine_chain","longchain","PeakExtreme","S01_light_ramp","94","72","90.27","0.947","9","5","0.822","target=94;stageTarget=94;effective=90.3;chains=72;role=PeakExtreme;style=longchain;chain=spine_chain;cost=24.2","rhythm_v4|target=94;stageTarget=94;effective=90.3;chains=72;role=PeakExtreme;style=longchain;chain=spine_chain;cost=24.2"
"77","8","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_style_expansion_33_double_room_lock_tall","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L077_nomask_style_expansion_33_double_room_lock_tall.asset","campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","3590208550bd829439ee02e0e09ddfa6","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowCurve","flow","curve_chain","flow","Normal","S01_light_ramp","48","46","48.08","0.993","9","3","0.919","target=48;stageTarget=48;effective=48.1;chains=46;role=Normal;style=flow;chain=curve_chain;cost=19.4","rhythm_v4|target=48;stageTarget=48;effective=48.1;chains=46;role=Normal;style=flow;chain=curve_chain;cost=19.4"
"78","8","shape","普通/恢复","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L078_r2_outer_strong_005_r2_006_a401_maskonlyb05_14_lar.asset","campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","b03a1da65f95b6b43ba8ca6e85983ded","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","ShapeMaskInventory","shape_psg_inventory","LatestProposedKeep","","SectionUnlock","","","Shape","S01_light_ramp","87","84","","0.987","10","12","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"79","8","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_style_expansion_19_long_corridor_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L079_nomask_style_expansion_19_long_corridor_a.asset","campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","4b7a2119892b848468e9839e13f6a111","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","neutral","Recovery","S01_light_ramp","58","51","59.82","0.981","10","6","0.889","target=58;stageTarget=58;effective=59.8;chains=51;role=Recovery;style=neutral;chain=mixed_chain;cost=49.3","rhythm_v4|target=58;stageTarget=58;effective=59.8;chains=51;role=Recovery;style=neutral;chain=mixed_chain;cost=49.3"
"80","8","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L080_direct_pure_topup_06_02_direct_normal_pure_rect_se.asset","campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","ca003bfebd9c47a68686852009c36466","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowRail","flow","rail_chain","flow","Normal","S01_light_ramp","89","73","78.67","0.986","10","5","0.913","target=89;stageTarget=84;effective=78.7;chains=73;role=Normal;style=flow;chain=rail_chain;cost=58.4","rhythm_v4|target=89;stageTarget=84;effective=78.7;chains=73;role=Normal;style=flow;chain=rail_chain;cost=58.4"
"81","9","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_style_expansion_04_snake_spine_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L081_nomask_style_expansion_04_snake_spine_a.asset","campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","2da7a69636a5eec4eb59b4d9720bddd4","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowRail","flow","rail_chain","flow","Recovery","S02_mid_campaign","46","43","45.73","0.991","9","4","0.911","target=46;stageTarget=46;effective=45.7;chains=43;role=Recovery;style=flow;chain=rail_chain;cost=25.8","rhythm_v4|target=46;stageTarget=46;effective=45.7;chains=43;role=Recovery;style=flow;chain=rail_chain;cost=25.8"
"82","9","hole","普通/恢复","HoleRescue","KEPT_CURRENT","False","OriginalNonTarget","KeepCurrent","BasePreviewFallback","hole_candidate_018_std_22x24_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L082_hole_candidate_018_std_22x24_lock.asset","hole_candidate_018_std_22x24_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L082_hole_candidate_018_std_22x24_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","35252a2e77ab14142b14789b38700df2","U/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","","","","","","","","HoleRescue","S02_mid_campaign","45","","","","","","","unchanged_from_v3_or_non_normal",""
"83","9","shape","困难","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L083_r2_outer_strong_005_r2_006_a401_maskonlyb06_09_mai.asset","campaign500_shape_psg_next10_tail9_02_L083_ballmouse","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","8629ba81fd601964386344907767e956","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","ShapeMaskInventory","shape_psg_inventory","LatestProposedKeep","","DenseWeave","","","Shape","S02_mid_campaign","103","91","","0.981","8","9","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"84","9","normal","困难","Pressure","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L084_direct_pure_normal_extra_01_04_direct_normal_pure_.asset","c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","b6fe6e357ab64ff45a2089a8ab7b118f","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PeelMid","hardgate","curve_chain","hardgate","Hard","S02_mid_campaign","88","80","87.00","0.988","9","5","0.862","target=88;stageTarget=88;effective=87.0;chains=80;role=Hard;style=hardgate;chain=curve_chain;cost=28.9","rhythm_v4|target=88;stageTarget=88;effective=87.0;chains=80;role=Hard;style=hardgate;chain=curve_chain;cost=28.9"
"85","9","normal","困难","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L085_direct_pure_topup_04_08_direct_normal_pure_rect_ma.asset","c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset","73136de74195fbd41a300cb918c7bf9a","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","normal","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","neutral","Recovery","S02_mid_campaign","92","79","90.56","0.988","9","7","0.827","target=92;stageTarget=92;effective=90.6;chains=79;role=Recovery;style=neutral;chain=mixed_chain;cost=66.7","rhythm_v4|target=92;stageTarget=92;effective=90.6;chains=79;role=Recovery;style=neutral;chain=mixed_chain;cost=66.7"
"86","9","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L086_direct_pure_topup_01_17_direct_refresh_topup_rect_.asset","campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","7fc43351ccc488e4e85b4f06a2fd58b9","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowRail","flow","rail_chain","flow","Normal","S02_mid_campaign","55","51","56.58","0.985","10","3","0.906","target=55;stageTarget=55;effective=56.6;chains=51;role=Normal;style=flow;chain=rail_chain;cost=35.0","rhythm_v4|target=55;stageTarget=55;effective=56.6;chains=51;role=Normal;style=flow;chain=rail_chain;cost=35.0"
"87","9","shape","困难","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_maskonlyb07_06_main_racingkart","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L087_r2_outer_strong_005_r2_006_a401_maskonlyb07_06_mai.asset","campaign500_shape_psg_next10_tail9_03_L087_racingkart","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","435b984b426860243ab41597c101903f","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","ShapeMaskInventory","shape_psg_inventory","LatestProposedKeep","","CoreBurst","","","Shape","S02_mid_campaign","107","95","","0.988","9","9","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
